"rep","description_short","description","choreography","length","music","music by","premiere","original cast","num_dancers","costumes","set","lighting","photo_url","premiere_date","premiere_place"
"The-Four-Temperaments","A ballet with unceasing appeal, The Four Temperaments references the medieval concept of psychological humors through its classically grounded but definitively modern movement.","A ballet with unceasing appeal, The Four Temperaments references the medieval concept of psychological humors through its classically grounded but definitively modern movement.
The score for this ballet was commissioned by George Balanchine from Paul Hindemith in 1940. The ballet, together with Ravel’s opera L’Enfant et les Sortilèges, constituted the opening program of Ballet Society (the direct predecessor of the New York City Ballet) on November 20, 1946. In Complete Stories of the Great Ballets, Balanchine wrote of the ballet that it “is an expression in dance and music of the ancient notion that the human organism is made up of four different humors, or temperaments. Each one of us possesses these four humors, but in different degrees, and it is from the dominance of one of them that the four physical and psychological types — melancholic, sanguinic, phlegmatic, and choleric — were derived …. Although the score is based on this idea of the four temperaments, neither the music nor the ballet itself makes specific or literal interpretation of the idea. An understanding of the Greek and medieval notion of the temperaments was merely the point of departure for both composer and choreographer.”An accomplished pianist, Balanchine commissioned the score because he wanted a short work he could play at home with friends during his evening musicales. It was completed in 1940 and had its first public performance at a 1944 concert with Lukas Foss as the pianist.","George Balanchine","32 minutes","Theme with Four Variations [According to the Four Temperaments], for string orchestra and piano (1940)Commissioned by George Balanchine","Paul Hindemith","November 20, 1946, Ballet Society, Central High School of Needle Trades, New York","Beatrice Tompkins, José Martinez, Elise Reiman, Lew Christensen, Gisella Caccialanza, Francisco Moncion, William Dollar, Georgia Hiden, Rita Karlin, Mary Ellen Moylan, Fred Danieli, Todd Bolender, Tanaquil Le Clercq",13,"-","-","-","https://res.cloudinary.com/new-york-city-ballet/image/upload/c_fill,g_center,h_700,w_800/f_auto/q_auto/v1604271035/Ballets/Four-Temperaments-The/FourTemperaments-c43158-14?_a=AACnOEz,","November 20, 1946","Ballet Society, Central High School of Needle Trades, New York"
"Liebeslieder-Walzer","Set in an elegantly appointed ballroom to 33 Brahms waltzes with onstage singers, Liebeslieder Walzer is a lyrical and intimate two-part ballet that finds its four couples in the midst of their affection – an intimate joy for waltz lovers and classical music devotees.","Set in an elegantly appointed ballroom to 33 Brahms waltzes with onstage singers, Liebeslieder Walzer is a lyrical and intimate two-part ballet that finds its four couples in the midst of their affection – an intimate joy for waltz lovers and classical music devotees.
For this two-part ballet of waltzes for piano duet and vocal quartet set to poems by Friedrich Daumer and one, the last, set to a poem by Goethe, the dancers are joined on stage by the musicians and singers. The first set of Walzer (Opus 52) was composed by Johannes Brahms when he lived in Vienna in 1869. The success of the first series caused a second (Opus 65) to be created in 1874, utilizing some materials which were left over from the original set. Balanchine used the entire two sections, and the atmosphere reflects the social dance of Vienna during the mid-century. There is a difference in mood between Opus 52 and Opus 65, with the former being more intimate and domestic, and the latter more theatrical.
The dancers and musicians are all dressed in period ballroom costumes, and during the first set of 18 waltzes, the four couples dance in interweaving combinations in an intimate, elegantly appointed ballroom, with the women wearing dancing slippers. After a brief lowering of the curtain, the couples return to dance the second set of 14 waltzes, with the women now wearing ballet dresses and pointe shoes. They then leave the stage and return in the original costumes and pause to listen to the final waltz set to Goethe’s words: “Now, Muses, enough! You try in vain to portray how misery and happiness alternate in a loving heart!” Of Liebeslieder Walzer, Balanchine said, “In the first act, it is the real people who are dancing. In the second act, it is their souls.”","George Balanchine","53 minutes","Liebeslieder, Op. 52, 1869; Neue Liebeslieder, Op. 65, 1874, waltzes for piano duet and vocal quartet, all set to poems by Friedrich Daumer, except last, by Goethe","Johannes Brahms","November 22, 1960, New York City Ballet, City Center of Music and Drama","Diana Adams, Bill Carter, Melissa Hayden, Jonathan Watts, Jillana, Conrad Ludlow, Violette Verdy, Nicholas Magallanes",8,"Karinska","David Hays","David Hays","https://res.cloudinary.com/new-york-city-ballet/image/upload/c_fill,g_auto,h_700,w_800/f_auto/q_auto/v1579693679/legacy/imported/liebeslieder-walzer-key?_a=AACnOEz,","November 22, 1960","New York City Ballet, City Center of Music and Drama"
"Copland-Dance-Episodes","After his award-winning foray with Rodeo: Four Dance Episodes, Resident Choreographer Justin Peck goes all-in with Aaron Copland, creating an original full-evening work in collaboration with painter and sculptor Jeffrey Gibson.","After his award-winning foray with Rodeo: Four Dance Episodes, Resident Choreographer Justin Peck goes all-in with Aaron Copland, creating an original full-evening work in collaboration with painter and sculptor Jeffrey Gibson.
Justin Peck’s Copland Dance Episodes is Peck’s 23rd piece for NYCB and his first full-evening work. The ballet for 30 dancers in 22 episodes is set to four scores by Aaron Copland: Fanfare for the Common Man, Four Dance Episodes from Rodeo, Appalachian Spring, and Billy the Kid. Copland Dance Episodes features set design by celebrated artist Jeffrey Gibson, costumes by former NYCB dancer Ellen Warren, and lighting by Peck’s frequent collaborator Brandon Stirling Baker.","Justin Peck","1 hr 16 min","Fanfare for the Common Man, Four Dance Episodes from Rodeo, Appalachian Spring, Billy the Kid","Aaron Copland","January 26, 2023, New York City Ballet, David H. Koch Theater","Mira Nadon, Taylor Stanley, Tiler Peck, Chun Wai Chan, Megan Fairchild, Ashley Hod, Indiana Woodward, Harrison Coll, Anthony Huxley, Roman Mejia, Emilie Gerrity, Emily Kikta, Isabella LaFreniere, Miriam Miller, Daniel Applebaum, Jonathan Fahoury, Lars Nelson, Aarón Sanz",18,"Ellen Warren","Jeffrey Gibson","Brandon Stirling Baker","https://res.cloudinary.com/new-york-city-ballet/image/upload/c_fill,g_south,h_700,w_800/f_auto/q_auto/v1674855272/Ballets/Copland%20Dance%20Episodes/CoplandDanceEpisodes-230126B-227?_a=AACnOEz,","January 26, 2023","New York City Ballet, David H. Koch Theater"
"Rotunda","Justin Peck’s Rotunda, featuring a commissioned score from acclaimed American composer Nico Muhly, creates an overarching sense of community through punctuated mirroring and ensemble groupings, inspiring reflection, delight, and intrigue.","Justin Peck’s Rotunda, featuring a commissioned score from acclaimed American composer Nico Muhly, creates an overarching sense of community through punctuated mirroring and ensemble groupings, inspiring reflection, delight, and intrigue.","Justin Peck","25 minutes","CascadesCommissioned by New York City Ballet","Nico Muhly","February 26, 2020, New York City Ballet, David H. Koch Theater","Sara Mearns, Miriam Miller, Sara Adams, Claire Kretzschmar, Brittany Pollack, Unity Phelan, Gonzalo Garcia, Andrew Scordato, Adrian Danchig-Waring, Daniel Ulbricht, Jovani Furlan, Gilbert Bolden III",12,"Reid Bartelme and Harriet Jung","-","Mark Stanley","https://res.cloudinary.com/new-york-city-ballet/image/upload/c_fill,g_center,h_700,w_800/f_auto/q_auto/v1604267217/Ballets/Rotunda/Rotunda-200226-370-RGB?_a=AACnOEz,","February 26, 2020","New York City Ballet, David H. Koch Theater"
"Concerto-for-Two-Pianos","Described by The New York Times as “a physical manifestation of musical notes,” Principal Dancer Tiler Peck “sets her dancers free” in a whirlwind of choreography set to a sparkling composition by Francis Poulenc and garbed in elegantly airy costumes.","Described by The New York Times as “a physical manifestation of musical notes,” Principal Dancer Tiler Peck “sets her dancers free” in a whirlwind of choreography set to a sparkling composition by Francis Poulenc and garbed in elegantly airy costumes.
Tiler Peck, a longtime principal dancer known for her astute sense of musicality, creates her first commission for NYCB after choreographing for Boston Ballet, Vail Dance Festival, and her self-curated Turn It Out with Tiler Peck & Friends program at New York City Center, among an array of other projects.","Tiler Peck","22 Minutes","Concerto for Two Pianos and Orchestra","Francis Poulenc","February 1, 2024, New York City Ballet, David H. Koch Theater","Mira Nadon, Chun Wai Chan, Roman Meija, India Bradley, Emma Von Enck",5,"Zac Posen","-","Brandon Stirling Baker","https://res.cloudinary.com/new-york-city-ballet/image/upload/c_fill,g_auto,h_700,w_800/f_auto/q_auto/v1706918858/240201-248Concerto?_a=AACnOEz,","February 1, 2024","New York City Ballet, David H. Koch Theater"
"Odesa","Ratmansky’s fifth NYCB work is set to a collection of pieces that includes a mix of tango and klezmer music.","Ratmansky’s fifth NYCB work is set to a collection of pieces that includes a mix of tango and klezmer music.
The music for Odesa, Leonid Desyatnikov’s “Sketches to Sunset,” is a collection of incidental music from the 1990  film Sunset, based on Isaac Babel’s tales of Jewish gangsters in Odesa after the Russian Revolution. The ballet for 18 dancers features costumes by Keso Dekker and lighting by Mark Stanley.","Alexei Ratmansky","23 minutes","Sketches to Sunset","Leonid Desyatnikov","May 4, 2017, David H. Koch Theater","Sara Mearns, Tiler Peck, Sterling Hyltin, Amar Ramasar, Taylor Stanley, Joaquin De Luz",6,"Keso Dekker","-","Mark Stanley","https://res.cloudinary.com/new-york-city-ballet/image/upload/c_fill,g_auto,h_700,w_800/f_auto/q_auto/v1679428854/Ballets/Odessa/FY24/Odessa-Phelan-c43983-7?_a=AACnOEz,","May 4, 2017","David H. Koch Theater"
"Opus-19-The-Dreamer","Set to Prokofiev’s feverish concerto, Opus 19/The Dreamer follows a male protagonist on a journey to find his elusive and ethereal counterpart.","Set to Prokofiev’s feverish concerto, Opus 19/The Dreamer follows a male protagonist on a journey to find his elusive and ethereal counterpart.
Originally choreographed in 1979 for Mikhail Baryshnikov and Patricia McBride, the ballet for 14 dancers is set to Prokofiev’s Violin Concerto No. 1 in D Major, which premiered in 1923 and has become one of the most beloved works for violin in the classical repertory.","Jerome Robbins","21 minutes","Violin Concerto No. 1 in D Major (1917)","Sergei Prokofiev","June 14, 1979, New York City Ballet, New York State Theater","Mikhail Baryshnikov, Patricia McBride",2,"-","-","-","https://res.cloudinary.com/new-york-city-ballet/image/upload/c_fill,g_center,h_700,w_800/f_auto/q_auto/v1595273077/Ballets/Opus-19-The-Dreamer/Opus19TheDreamer_180518-040_sRGB?_a=AACnOEz,","June 14, 1979","New York City Ballet, New York State Theater"
"New-Ratmansky",NA,"","Alexei Ratmansky","-","Léon Minkus","Léon Minkus","February 6, 2025, David H. Koch Theater","-",NA,"-","-","-","https://res.cloudinary.com/new-york-city-ballet/image/upload/c_fill,g_center,h_700,w_800/f_auto/q_auto/v1570719968/placeholders/auditorium-chandelier?_a=AACnOEz,","February 6, 2025","David H. Koch Theater"
"Polyphonia","Regarded as one of Wheeldon’s breakthrough contemporary works, Polyphonia’s four couples wind their way through ten eerily melodious Ligeti selections, including music made famous by Stanley Kubrick’s Eyes Wide Shut.","Regarded as one of Wheeldon’s breakthrough contemporary works, Polyphonia’s four couples wind their way through ten eerily melodious Ligeti selections, including music made famous by Stanley Kubrick’s Eyes Wide Shut.
Polyphonia was the fourth work Christopher Wheeldon created for New York City Ballet, and his first after retiring from dancing with the Company and being named NYCB’s first-ever Artist in Residence in 2000. A work for eight dancers, Polyphonia is set to ten piano pieces by the composer György Ligeti, who developed micropolyphony, a type of musical texture involving the use of sustained dissonant chords that shift slowly over time.","Christopher Wheeldon","27 minutes","Désordre from Études pour piano, premier livre (1985), Arc-en-ciel from Études pour piano, premier livre (1985), No. 4 Tempo di Valse from Musica Ricercata (1951-53), Invention (1948), No. 8 Vivace energico from Musica Ricercata (1951-53), No. 2 Hopp ide tisztán from Three Wedding Dances (1950), No. 7 Cantabile molto legato, No. 3 Allegro con spirito from Musica Ricercata (1951-53), No. 2 Mesto, rigido e cerimoniale from Musica Ricercata (1951-53), Capriccio No. 2 – Allegro robusto (1947)","György Ligeti","January 4, 2001, New York City Ballet, New York State Theater","Wendy Whelan, Jennie Somogyi, Jennifer Tinsley, Alexandra Ansanelli, Jock Soto, Edwaard Liang, Jason Fowler, Craig Hall",8,"-","-","-","https://res.cloudinary.com/new-york-city-ballet/image/upload/c_fill,g_center,h_700,w_800/f_auto/q_auto/v1594841198/Ballets/Polyphonia/c43880-11_Poly_HodGordon_sRGB?_a=AACnOEz,","January 4, 2001","New York City Ballet, New York State Theater"
"Barber-Violin-Concerto","Alternately noble and quixotic, Barber Violin Concerto contrasts a classical couple with a bare-footed couple as the worlds of ballet and modern dance collide.","Alternately noble and quixotic, Barber Violin Concerto contrasts a classical couple with a bare-footed couple as the worlds of ballet and modern dance collide.
Peter Martins created his Barber Violin Concerto to Samuel Barber’s 1941 Violin Concerto, Opus 14. The ballet, which Martins choreographed for New York City Ballet’s American Music Festival in 1988, features one pair of classical dancers and one pair of modern dancers.
The ballet was originally performed by NYCB Principal Dancers Merrill Ashley and Adam Lüders as the classical couple, and Paul Taylor Dance Company member Kate Johnson and choreographer and dancer David Parsons as the modern couple.","Peter Martins","25 minutes","Concerto for Violin and Orchestra, Op. 14 (1941)","Samuel Barber","May 12, 1988, New York City Ballet, American Music Festival, New York State Theater","Merrill Ashley, Adam Lüders, Kate Johnson, David Parsons",4,"William Ivey Long","-","Jennifer Tipton","https://res.cloudinary.com/new-york-city-ballet/image/upload/c_fill,g_auto,h_700,w_800/f_auto/q_auto/v1594332340/legacy/imported/barber-violin-concerto-key?_a=AACnOEz,","May 12, 1988","New York City Ballet, American Music Festival, New York State Theater"
"The-Times-Are-Racing","One of the most buzzed about premieres of 2017, The Times Are Racing is a sneaker ballet that sees its dancers in streetwear designed by Opening Ceremony, drawing inspiration from a variety of dance styles while matching Dan Deacon’s electronic score with youthful impulse and vigor.","One of the most buzzed about premieres of 2017, The Times Are Racing is a sneaker ballet that sees its dancers in streetwear designed by Opening Ceremony, drawing inspiration from a variety of dance styles while matching Dan Deacon’s electronic score with youthful impulse and vigor.
Justin Peck’s The Times Are Racing is set to the last four tracks of Dan Deacon’s expansive 2012 album, America. The ballet for 20 dancers is Peck’s second collaboration with fashion designer Humberto Leon of Opening Ceremony, following New Blood, which premiered at NYCB’s 2015 Fall Gala. The lighting is by Peck’s frequent collaborator Brandon Stirling Baker.","Justin Peck","24 minutes","USA I-IV from the album America by Dan Deacon","Dan Deacon","January 26, 2017, David H. Koch Theater","Tiler Peck, Amar Ramasar, Robert Fairchild, Justin Peck, Brittany Pollack, Gretchen Smith, Savannah Lowery, Sean Suozzi",8,"Humberto Leon","-","Brandon Stirling Baker","https://res.cloudinary.com/new-york-city-ballet/image/upload/c_fill,g_auto,h_700,w_800/f_auto/q_auto/v1579781943/legacy/imported/times-racing-key?_a=AACnOEz,","January 26, 2017","David H. Koch Theater"
"Ballo-della-Regina","The jaw-dropping technical feats of Ballo della Regina’s choreography were originally devised to challenge the lead ballerina, who must exhibit carefree joyousness while performing steps that push the limits of physical possibility.","The jaw-dropping technical feats of Ballo della Regina’s choreography were originally devised to challenge the lead ballerina, who must exhibit carefree joyousness while performing steps that push the limits of physical possibility.
Balanchine was no stranger to opera. Not only did he create ballets to the music from such works as La Sonnambula and Don Sebastian, he also choreographed the ballet portions of many opera productions. He felt that opera taught something important. ""From Verdi's way of dealing with the chorus,"" Balanchine told biographer Bernard Taper, ""I have learned how to handle the corps de ballet, the ensemble, the soloists, how to make the soloists stand out against the corps, and when to give them a rest.""
Ballo della Regina is a virtuoso set of variations, comparable to the bel canto style of opera. It is set to ballet music that was cut from the original production of Verdi's Don Carlo. Lincoln Kirstein writes that the ballet seems to take place in a grotto, with reference through lighting and costumes to the original tale of a fisherman's search for the perfect pearl.","George Balanchine","17 minutes","Don Carlos, Act III (1867)","Giuseppe Verdi","January 12, 1978, New York City Ballet, New York State Theater","Merrill Ashley, Robert Weiss, Debra Austin, Bonita Borne, Stephanie Saland, Sheryl Ware",6,"Ben Benson","-","Ronald Bates","https://res.cloudinary.com/new-york-city-ballet/image/upload/c_fill,g_auto,h_700,w_800/f_auto/q_auto/v1594332253/Ballets/Ballo-Della-Regina/c41590-7_Ballo_TPeck_sRGB?_a=AACnOEz,","January 12, 1978","New York City Ballet, New York State Theater"
"In-a-Landscape",NA,"","Albert Evans","-","Six Melodies for Violin and Keyboard, Nos. 1 and 2 and In a Landscape","John Cage","November 22, 2005, New York City Ballet, New York State Theater","Wendy Whelan, Philip Neal",2,"-","-","-","https://res.cloudinary.com/new-york-city-ballet/image/upload/c_fill,g_auto,h_700,w_800/f_auto/q_auto/v1579690670/legacy/imported/Curtain_Key?_a=AACnOEz,","November 22, 2005","New York City Ballet, New York State Theater"
"Hallelujah-Junction","Martins’ Hallelujah Junction is a living locomotive of propulsive vitality, set to a pulsing John Adams score played by two onstage pianists.","Martins’ Hallelujah Junction is a living locomotive of propulsive vitality, set to a pulsing John Adams score played by two onstage pianists.
Peter Martins’ Hallelujah Junction is set to a score of the same name by John Adams.  The music was written for two pianos, and named after a small truck stop near the California-Nevada border. Adams said of the piece, “It was a case of a good title needing a piece, so I obliged by composing this work for two pianos.” The work centers on delayed repetition between the two pianos, creating an effect of echoing sonorities. There is a constant shift of pulse and meter, but the main rhythms are based on the rhythms of the word “Hal-le-LU-jah.”  The ballet, originally created for the Royal Danish Ballet, features a principal couple in white, a male soloist in black, and a small corps de ballet. The two pianists, dimly lit and facing each other at the back of the stage, appear to hover in the darkness above the dancers.","Peter Martins","17 minutes","Hallelujah Junction (1996)","John Adams","March 24, 2001, Royal Danish Ballet, Royal Theater","Gitte Lindstrom, Andrew Bowman, Andrey Batalov",3,"Kirsten Lund Nielsen","-","Mark Stanley","https://res.cloudinary.com/new-york-city-ballet/image/upload/c_fill,g_auto,h_700,w_800/f_auto/q_auto/v1594826556/legacy/imported/hallelujahjunction-key?_a=AACnOEz,","March 24, 2001","Royal Danish Ballet, Royal Theater"
"the-concert-or-the-perils-of-everybody","A one-of-a-kind comedic ballet, The Concert portrays a cast of quirky characters at a piano recital and their laugh-out-loud antics. ","A one-of-a-kind comedic ballet, The Concert portrays a cast of quirky characters at a piano recital and their laugh-out-loud antics. 
One of the pleasures of attending a concert is the freedom to lose oneself in listening to the music. Quite often, unconsciously, mental pictures and images form, and the patterns and paths of these reveries are influenced by the music itself, or its program notes, or by the personal dreams, problems, and fantasies of the listener. Chopin’s music in particular has been subject to fanciful “program” names such as the “Butterfly” Etude, the “Minute” Waltz, the “Raindrop” Prelude, etc.– Jerome Robbins","Jerome Robbins","29 minutes","Polonaise ""Militaire""; Berecuse, op. 57; Preleude, op. 28, no. 18; Prelude, op. 28, no. 16; Waltz in E Minor; Prelude, op. 28, no. 7; Prelude, op. 28, no. 4; Mazurka in G Major; Ballade, op. 47, no. 3","Frédéric Chopin","March 6, 1956","Tanquil Le Clercq, Todd Bolender, Yvonne Mounsey, Robert Barnett, Wilma Curley, John Mandia, Shaun O'Brien, Patricia Savoia, Richard Thomas",9,"Irene Sharaff","Jean Rosenthal (1956); Saul Steinberg (1971)","Jean Rosenthal (1956); Ronald Bates (1971)","https://res.cloudinary.com/new-york-city-ballet/image/upload/c_fill,g_auto,h_700,w_800/f_auto/q_auto/v1588975060/Ballets/Concert-The/Concert-Hyltin-c43177-13?_a=AACnOEz,","March 6, 1956",""
"Carnival-of-the-Animals","With delightful narration written by John Lithgow, Carnival of the Animals imagines a schoolboy’s night in the Museum of Natural History and the outlandish museum residents who come to life as versions of his teachers, classmates, and family members. ","With delightful narration written by John Lithgow, Carnival of the Animals imagines a schoolboy’s night in the Museum of Natural History and the outlandish museum residents who come to life as versions of his teachers, classmates, and family members. 
Created for New York City Ballet in 2003, Christopher Wheeldon’s Carnival of the Animals is set to Camille Saint-Saëns' humorous musical suite of 14 movements that the composer created for a private performance in 1886. Wheeldon’s ballet features a cast of nearly 50 dancers and tells the story of a young boy, Oliver Pendleton Percy the Third, who falls asleep in New York’s American Museum of Natural History, and dreams that the people in his life — family members, teachers, classmates — have all been transformed into animals. The production features a text written by the award-winning actor John Lithgow, who performed the narration in the original NYCB production. For the 2013 revival of Carnival of the Animals, the narration was performed by the stage and screen actor Jack Noseworthy.","Christopher Wheeldon","36 minutes","The Carnival of the Animals (Le carnaval des animaux). Additional musical arrangements by Andrea Quinn; reduction for four-hand piano by Mack Schlefer. Narration written by John Lithgow","Camille Saint-Saëns","May 14, 2003, New York City Ballet, New York State Theater","John Lithgow+, P.J. Verhoest*, Charles Askegard, Kyra Nichols, James Fayette, Yvonne Borree, Rachel Rutherford, Pascale van Kipnis, Arch Higgins, Christine Redpath (+Guest Artist, *Student, School of American Ballet)",12,"Jon Morrell, supervised by Holly Hynes","Jon Morrell, supervised by Penny Jacobus","Natasha Katz","https://res.cloudinary.com/new-york-city-ballet/image/upload/c_fill,g_center,h_700,w_800/f_auto/q_auto/v1608838661/Ballets/Carnival-of-the-Animals/Carnival-c36470-14?_a=AACnOEz,","May 14, 2003","New York City Ballet, New York State Theater"
"Tschaikovsky-Pas-de-Deux","A virtuosic ballet, Tschaikovsky Pas de Deux is brief, beautiful, and beloved – an adrenaline rush for both dancers and audiences.","A virtuosic ballet, Tschaikovsky Pas de Deux is brief, beautiful, and beloved – an adrenaline rush for both dancers and audiences.
For the original production of Swan Lake in Moscow in 1877, Tschaikovsky composed a pas de deux for Act III at the request of Anna Sobeshchanskaya, a Bolshoi prima ballerina who was one of the first dancers to perform the lead role. Since it was composed later than the rest of the music, it was not included in the published score and was therefore not available to Marius Petipa when he choreographed his famous Swan Lake in St. Petersburg, in 1895. In its place, Petipa moved some music from Act I to Act III, and it is this piece that is now well-known as the Black Swan pas de deux. Well over half a century later, the complete and original Swan Lake score was found, including an appendix with the lost pas de deux. Hearing of its historic discovery, George Balanchine asked for — and was granted — permission to use it for his own choreography. The result is an eight-minute display of ballet bravura and technique.","George Balanchine","9 minutes","Excerpt from Swan Lake, Op. 20, Act III (1877)","Peter Ilyitch Tschaikovsky","March 29, 1960, New York City Ballet, City Center of Music and Drama","Violette Verdy, Conrad Ludlow",2,"Karinska","-","Jack Owen Brown, subsequently by David Hays (original production); Mark Stanley (current production)","https://res.cloudinary.com/new-york-city-ballet/image/upload/c_fill,g_auto,h_700,w_800/f_auto/q_auto/v1579690653/legacy/imported/tschai-pas-key?_a=AACnOEz,","March 29, 1960","New York City Ballet, City Center of Music and Drama"
